fecha,sesion,etapa,subetapa,documento_url
07 Nov.  2022,,Primer trámite constitucional / C. Diputados,"Ingreso de proyecto.  Incluye IF N° 201/07.11.2022, Informe de Impacto Regulatorio, Informe de Sustentabilidad de los Fondos de Cesantía e Informe de Sustentabilidad del Fondo de Reserva de Pensiones.",../../verDoc.aspx?prmID=15706&prmTIPO=INICIATIVA
07 Nov. 2022,,Primer trámite constitucional / C. Diputados,Texto del mensaje.,../../verDoc.aspx?prmID=30946&prmTIPO=OFICIOPLEY
07 Nov.  2022,92ª / 370,Primer trámite constitucional / C. Diputados,"Cuenta de proyecto. Pasa a Comisión de Trabajo y Seguridad Social, y a la Comisión de Hacienda.",
07 Nov. 2022,92ª / 370,Primer trámite constitucional / C. Diputados,Cuenta del Mensaje 859-370 que hace presente la urgencia Simple,
14 Nov. 2022,,Primer trámite constitucional / C. Diputados,Oficio N°17.864 a la Corte Suprema,../../verDoc.aspx?prmID=30955&prmTIPO=OFICIOPLEY
28 Nov. 2022,,Primer trámite constitucional / C. Diputados,"Opinión del Consejo Consultivo Previsional sobre los impactos en el mercado laboral, los incentivos al ahorro y los efectos fiscales de la propuesta de reforma de pensiones.",../../verDoc.aspx?prmID=31010&prmTIPO=OFICIOPLEY
30 Nov. 2022,104ª / 370,Primer trámite constitucional / C. Diputados,Cuenta del Mensaje 1009-370 que retira y hace presente la urgencia Simple,
12 Dic. 2022,105ª / 370,Primer trámite constitucional / C. Diputados,Cuenta del Mensaje 1029-370 que retira y hace presente la urgencia Suma,
21 Dic. 2022,110ª / 370,Primer trámite constitucional / C. Diputados,Cuenta del Mensaje 1110-370 que retira y hace presente la urgencia Suma,
04 Ene. 2023,113ª / 370,Primer trámite constitucional / C. Diputados,Cuenta del Mensaje 1186-370 que retira y hace presente la urgencia Suma,
