sesion_leg,fecha,subetapa,etapa,documento_texto,documento_url,fecha_sort,strcompa
Sesión/Leg.,Fecha,Subetapa,Etapa,Ver Documentos,,Fecha sort,strcompa
,07/11/2022,"Ingreso de proyecto .  Incluye IF N° 201/07.11.2022, Informe de Impacto Regulatorio, Informe de Sustentabilidad de los Fondos de Cesantía e Informe de Sustentabilidad del Fondo de Reserva de Pensiones.",Primer trámite constitucional / C.Diputados,Mensaje/Moción,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=16006&tipodoc=mensaje_mocion,2022/11/07,
,07/11/2022,Texto del mensaje.,Primer trámite constitucional / C.Diputados,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=30946&tipodoc=ofic,2022/11/07,
92 / 370,07/11/2022,"Cuenta de proyecto . Pasa a Comisión de Trabajo y Seguridad Social, y a la Comisión de Hacienda.",Primer trámite constitucional / C.Diputados,,,2022/11/07,
92 / 370,07/11/2022,Cuenta del Mensaje 859-370 que hace presente la urgencia Simple,Primer trámite constitucional / C.Diputados,,,2022/11/07,
,14/11/2022,Oficio N°17.864 a la Corte Suprema,Primer trámite constitucional / C.Diputados,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=30955&tipodoc=ofic,2022/11/14,
,28/11/2022,"Opinión del Consejo Consultivo Previsional sobre los impactos en el mercado laboral, los incentivos al ahorro y los efectos fiscales de la propuesta de reforma de pensiones.",Primer trámite constitucional / C.Diputados,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=31010&tipodoc=ofic,2022/11/28,
104 / 370,30/11/2022,Cuenta del Mensaje 1009-370 que retira y hace presente la urgencia Simple,Primer trámite constitucional / C.Diputados,,,2022/11/30,
105 / 370,12/12/2022,Cuenta del Mensaje 1029-370 que retira y hace presente la urgencia Suma,Primer trámite constitucional / C.Diputados,,,2022/12/12,
110 / 370,21/12/2022,Cuenta del Mensaje 1110-370 que retira y hace presente la urgencia Suma,Primer trámite constitucional / C.Diputados,,,2022/12/21,
113 / 370,04/01/2023,Cuenta del Mensaje 1186-370 que retira y hace presente la urgencia Suma,Primer trámite constitucional / C.Diputados,,,2023/01/04,
118 / 370,16/01/2023,"Cuenta de oficio N° 4-2023, de la Corte Suprema, por el cual remite opinión respecto del proyecto (informe N°33-2022).",Primer trámite constitucional / C.Diputados,,,2023/01/16,
121 / 370,19/01/2023,Cuenta del Mensaje 1278-370 que retira y hace presente la urgencia Suma,Primer trámite constitucional / C.Diputados,,,2023/01/19,
49 / 371,03/07/2023,Cuenta del Mensaje 630-371 que hace presente la urgencia Suma,Primer trámite constitucional / C.Diputados,,,2023/07/03,
54 / 371,12/07/2023,Cuenta del Mensaje 713-371 que retira y hace presente la urgencia Suma,Primer trámite constitucional / C.Diputados,,,2023/07/12,
58 / 371,26/07/2023,Cuenta del Mensaje 803-371 que retira la urgencia Suma,Primer trámite constitucional / C.Diputados,,,2023/07/26,
,21/12/2023,"Oficio del Presidente de la República (N°276-371), por el cual formula indicaciones al proyecto. Adjunta informe financiero sustitutivo N°284/20.12.2023",Primer trámite constitucional / C.Diputados,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=32818&tipodoc=ofic,2023/12/21,
124 / 371,03/01/2024,Cuenta del Mensaje 1784-371 que hace presente la urgencia Suma,Primer trámite constitucional / C.Diputados,,,2024/01/03,
,09/01/2024,"Oficio del Presidente de la República (N°289-371), por el que sustituye indicación al proyecto. Se adjunta informe financiero complementario N°8/09.01.2024.",Primer trámite constitucional / C.Diputados,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=32852&tipodoc=ofic,2024/01/09,
129 / 371,10/01/2024,Cuenta del Mensaje 1845-371 que retira y hace presente la urgencia Suma,Primer trámite constitucional / C.Diputados,,,2024/01/10,
,10/01/2024,"Oficio del Presidente de la República (N°294-371), por el cual retira y formula indicaciones al proyecto. Se adjunta informe financiero complementario N°10/10.01.2024.",Primer trámite constitucional / C.Diputados,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=32867&tipodoc=ofic,2024/01/10,
,10/01/2024,"IFC N° 10/10.01.2024, acompañado a la indicación 294-371.",Primer trámite constitucional / C.Diputados,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=32970&tipodoc=ofic,2024/01/10,
,15/01/2024,"Oficio del Presidente de la República (N°301-371), por el cual retira y formula indicaciones al proyecto. Se acompaña informe financiero complementario N°18/15.01.2024.",Primer trámite constitucional / C.Diputados,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=32878&tipodoc=ofic,2024/01/15,
,15/01/2024,Primer informe de comisión de Trabajo y Seguridad Social. Pasa a Comisión de Hacienda. CERTIFICADO,Primer trámite constitucional / C.Diputados,Informe,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=26258&tipodoc=info,2024/01/15,
131 / 371,16/01/2024,Cuenta de primer informe de comisión .  (Certificado de Trabajo). Pasa a Hacienda.,Primer trámite constitucional / C.Diputados,,,2024/01/16,
,19/01/2024,"Oficio del Presidente de la República (312-371), por el cual retira y formula indicaciones al proyecto. Se adjunta informe financiero complementario N°28/19.01.2024.",Primer trámite constitucional / C.Diputados,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=32943&tipodoc=ofic,2024/01/19,
,22/01/2024,"Oficio del Presidente de la República (N°315-371), por el cual formula indicaciones al proyecto. Se adjunta informe financiero complementario N°33/19.01.2024",Primer trámite constitucional / C.Diputados,Oficio,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=32937&tipodoc=ofic,2024/01/22,
,22/01/2024,Primer informe de comisión de Trabajo y Seguridad Social.,Primer trámite constitucional / C.Diputados,Informe,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=26279&tipodoc=info,2024/01/22,
133 / 371,22/01/2024,Cuenta de primer informe de comisión .  (Trabajo) Pasa a Hacienda.,Primer trámite constitucional / C.Diputados,,,2024/01/22,
,22/01/2024,Primer informe de comisión de Hacienda.,Primer trámite constitucional / C.Diputados,Informe,/appsenado/index.php?mo=tramitacion&ac=getDocto&iddocto=26284&tipodoc=info,2024/01/22,
134 / 371,23/01/2024,Discusión general pendiente.,Trámite en Tribunal Constitucional / C.Diputados,,,2024/01/23,
134 / 371,23/01/2024,Cuenta de primer informe de comisión .  (Hacienda). Queda para tabla.,Primer trámite constitucional / C.Diputados,,,2024/01/23,
136 / 371,24/01/2024,Discusión general . Aprobado en general y particular a la vez .,Primer trámite constitucional / C.Diputados,Diario,//www.camara.cl/dataprovider/descargaDocumentopdf.aspx?legislatura=371&sesion=136&formato=pdf,2024/01/24,
