detalle,esdossier,fecha,hdncheck,id,identificador,key_apc,numero_ley,pos,tipoRecurso,titulo,tramite,urlparlamentario
"Crea un nuevo sistema mixto de pensiones y un seguro social en el pilar contributivo, mejora la Pensión Garantizada Universal y establece beneficios y modificaciones regulatorias que indica",0,26-03-2025 ,,8372,8372,historiadelaley,1212060,,HLD,Historia de la Ley N° 21.735,,
1. Primer Trámite Constitucional: Cámara de Diputados,0,26-03-2025 ,"[{""urlDocumento"":""706791""},{""urlDocumento"":""706792""},{""urlDocumento"":""706795""},{""urlDocumento"":""706793""},{""urlDocumento"":""706794""},{""urlDocumento"":""706796""},{""urlDocumento"":""704345""},{""urlDocumento"":""706899""},{""urlDocumento"":""706928""},{""urlDocumento"":""704089""},{""urlDocumento"":""706902""},{""urlDocumento"":""tempId1760113407532""},{""urlDocumento"":""tempId1760113407626""},{""urlDocumento"":""706903""}]",8372-1,8372,historiadelaley,1212060,1,HLD,"Historia de la Ley N° 21.735, 1. Primer Trámite Constitucional: Cámara de Diputados",contitucional,
"Fecha 07 de noviembre, 2022. Mensaje en Sesión 92. Legislatura 370.",0,1667832229,"{""urlDocumento"":""706791""}",,8372,historiadelaley,1212060,1-1,HLD,"Historia de la Ley N° 21.735, 1. Primer Trámite Constitucional: Cámara de Diputados, 1.1. Mensaje",,
"Oficio a La Corte Suprema. Fecha 14 de noviembre, 2022. Oficio",0,1668437029,"{""urlDocumento"":""706792""}",,8372,historiadelaley,1212060,1-2,HLD,"Historia de la Ley N° 21.735, 1. Primer Trámite Constitucional: Cámara de Diputados, 1.2. Oficio a la Corte Suprema",,
"Oficio de Corte Suprema. Fecha 11 de enero, 2023. Oficio en Sesión 118. Legislatura 370.",0,1673448229,"{""urlDocumento"":""706795""}",,8372,historiadelaley,1212060,1-3,HLD,"Historia de la Ley N° 21.735, 1. Primer Trámite Constitucional: Cámara de Diputados, 1.3. Oficio de la Corte Suprema",,
"Indicaciones del Ejecutivo. Fecha 21 de diciembre, 2023. Oficio",0,1703169829,"{""urlDocumento"":""706793""}",,8372,historiadelaley,1212060,1-4,HLD,"Historia de la Ley N° 21.735, 1. Primer Trámite Constitucional: Cámara de Diputados, 1.4. Oficio Indicaciones del Ejecutivo",,
"Indicaciones del Ejecutivo. Fecha 09 de enero, 2024. Oficio",0,1704811429,"{""urlDocumento"":""706794""}",,8372,historiadelaley,1212060,1-5,HLD,"Historia de la Ley N° 21.735, 1. Primer Trámite Constitucional: Cámara de Diputados, 1.5. Oficio Indicaciones del Ejecutivo",,
"Indicaciones del Ejecutivo. Fecha 10 de enero, 2024. Oficio",0,1704897829,"{""urlDocumento"":""706796""}",,8372,historiadelaley,1212060,1-6,HLD,"Historia de la Ley N° 21.735, 1. Primer Trámite Constitucional: Cámara de Diputados, 1.6. Oficio Indicaciones del Ejecutivo",,
"Cámara de Diputados. Fecha 15 de enero, 2024. Informe de Comisión de Trabajo en Sesión 133. Legislatura 371.",0,1705329829,"{""urlDocumento"":""704345""}",,8372,historiadelaley,1212060,1-7,HLD,"Historia de la Ley N° 21.735, 1. Primer Trámite Constitucional: Cámara de Diputados, 1.7. Informe de Comisión de Trabajo",,
"Indicaciones del Ejecutivo. Fecha 15 de enero, 2024. Oficio",0,1705329829,"{""urlDocumento"":""706899""}",,8372,historiadelaley,1212060,1-8,HLD,"Historia de la Ley N° 21.735, 1. Primer Trámite Constitucional: Cámara de Diputados, 1.8. Oficio Indicaciones del Ejecutivo",,
"Indicaciones del Ejecutivo. Fecha 19 de enero, 2024. Oficio",0,1705675429,"{""urlDocumento"":""706928""}",,8372,historiadelaley,1212060,1-9,HLD,"Historia de la Ley N° 21.735, 1. Primer Trámite Constitucional: Cámara de Diputados, 1.9. Oficio Indicaciones del Ejecutivo",,
"Cámara de Diputados. Fecha 22 de enero, 2024. Informe de Comisión de Hacienda en Sesión 134. Legislatura 371.",0,1705934629,"{""urlDocumento"":""704089""}",,8372,historiadelaley,1212060,1-10,HLD,"Historia de la Ley N° 21.735, 1. Primer Trámite Constitucional: Cámara de Diputados, 1.10. Informe de Comisión de Hacienda",,
"Indicaciones del Ejecutivo. Fecha 22 de enero, 2024. Oficio",0,1705934629,"{""urlDocumento"":""706902""}",,8372,historiadelaley,1212060,1-11,HLD,"Historia de la Ley N° 21.735, 1. Primer Trámite Constitucional: Cámara de Diputados, 1.11. Oficio Indicaciones del Ejecutivo",,
"Fecha 23 de enero, 2024. Diario de Sesión en Sesión 134. Legislatura 371. Discusión General. Pendiente.",0,1706021029,"{""urlDocumento"":""tempId1760113407532""}",,8372,historiadelaley,1212060,1-12,HLD,"Historia de la Ley N° 21.735, 1. Primer Trámite Constitucional: Cámara de Diputados, 1.12. Discusión en Sala",,
"Fecha 24 de enero, 2024. Diario de Sesión en Sesión 136. Legislatura 371. Discusión General. Se aprueba en general y particular.",0,1706107429,"{""urlDocumento"":""tempId1760113407626""}",,8372,historiadelaley,1212060,1-13,HLD,"Historia de la Ley N° 21.735, 1. Primer Trámite Constitucional: Cámara de Diputados, 1.13. Discusión en Sala",,
"Oficio de Ley a Cámara Revisora. Fecha 24 de enero, 2024. Oficio en Sesión 100. Legislatura 371.",0,1706107429,"{""urlDocumento"":""706903""}",,8372,historiadelaley,1212060,1-14,HLD,"Historia de la Ley N° 21.735, 1. Primer Trámite Constitucional: Cámara de Diputados, 1.14. Oficio de Cámara Origen a Cámara Revisora",,
2. Segundo Trámite Constitucional: Senado,0,26-03-2025 ,"[{""urlDocumento"":""706777""},{""urlDocumento"":""706798""},{""urlDocumento"":""706908""},{""urlDocumento"":""tempId1760113408028""},{""urlDocumento"":""706909""},{""urlDocumento"":""706925""}]",8372-2,8372,historiadelaley,1212060,2,HLD,"Historia de la Ley N° 21.735, 2. Segundo Trámite Constitucional: Senado",contitucional,
"Senado. Fecha 22 de enero, 2025. Informe de Comisión de Trabajo en Sesión 98. Legislatura 372.",0,1737557029,"{""urlDocumento"":""706777""}",,8372,historiadelaley,1212060,2-1,HLD,"Historia de la Ley N° 21.735, 1. Primer Trámite Constitucional: Cámara de Diputados, 2.1. Informe de Comisión de Trabajo",,
